Price,Close,mom,signal,signal_shift,ret_daily,strat_ret,wealth_market,wealth_strategy,trade,strat_ret_net,wealth_strategy_net
Ticker,SPY,,,,,,,,,,
Date,,,,,,,,,,,
2022-01-03,454.4668884277344,,0,0,0.0,0.0,1.0,1.0,,,
2022-01-04,454.314697265625,,0,0,-0.0003348784388580439,-0.0,0.999665121561142,1.0,0.0,-0.0,1.0
2022-01-05,445.5908508300781,,0,0,-0.019202210467882508,-0.0,0.9804693414995236,1.0,0.0,-0.0,1.0
2022-01-06,445.1722412109375,,0,0,-0.0009394484163236516,-0.0,0.979548241129398,1.0,0.0,-0.0,1.0
2022-01-07,443.4122619628906,,0,0,-0.003953479316813335,-0.0,0.975675617418272,1.0,0.0,-0.0,1.0
2022-01-10,442.86053466796875,,0,0,-0.0012442761336357577,-0.0,0.9744616075333481,1.0,0.0,-0.0,1.0
2022-01-11,446.8941345214844,,0,0,0.00910805894352218,0.0,0.9833370612929612,1.0,0.0,0.0,1.0
2022-01-12,448.10235595703125,,0,0,0.002703596539347153,0.0,0.9859956079688846,1.0,0.0,0.0,1.0
2022-01-13,441.92816162109375,,0,0,-0.013778535760542998,-0.0,0.972410032224747,1.0,0.0,-0.0,1.0
2022-01-14,442.1089172363281,,0,0,0.0004090158331873095,0.0,0.9728077633242771,1.0,0.0,0.0,1.0
2022-01-18,434.27935791015625,,0,0,-0.01770957115073657,-0.0,0.955579755023697,1.0,0.0,-0.0,1.0
2022-01-19,429.77001953125,,0,0,-0.010383496928350722,-0.0,0.9456574955726142,1.0,0.0,-0.0,1.0
2022-01-20,425.01324462890625,,0,0,-0.011068186905014876,-0.0,0.9351907816634882,1.0,0.0,-0.0,1.0
2022-01-21,416.66998291015625,,0,0,-0.019630592279623604,-0.0,0.9168324327249898,1.0,0.0,-0.0,1.0
2022-01-24,418.4394836425781,,0,0,0.004246767957852615,0.0,0.9207260073230064,1.0,0.0,0.0,1.0
2022-01-25,413.33074951171875,,0,0,-0.012209015474321627,-0.0,0.9094848492519894,1.0,0.0,-0.0,1.0
2022-01-26,412.2937316894531,,0,0,-0.002508929769901469,-0.0,0.9072030156384266,1.0,0.0,-0.0,1.0
2022-01-27,410.2578125,,0,0,-0.004938030906049828,-0.0,0.9027232191091424,1.0,0.0,-0.0,1.0
2022-01-28,420.4468078613281,,0,0,0.024835591305962357,0.0,0.9251428840413398,1.0,0.0,0.0,1.0
2022-01-31,428.0195617675781,,0,0,0.018011205614260728,0.0,0.9418058227483785,1.0,0.0,0.0,1.0
2022-02-01,430.91156005859375,-0.05183068110997535,0,0,0.0067566965375895904,0.0,0.9481693188900242,1.0,0.0,0.0,1.0
2022-02-02,435.0975341796875,-0.042299232671977105,0,0,0.00971423027157714,0.0,0.9573800539901663,1.0,0.0,0.0,1.0
2022-02-03,424.8705749511719,-0.04650067621520293,0,0,-0.023504980895368788,-0.0,0.9348768541115203,1.0,0.0,-0.0,1.0
2022-02-04,426.8683776855469,-0.041116363130821676,0,0,0.004702144257941576,0.0,0.9392727799429633,1.0,0.0,0.0,1.0
2022-02-07,425.4984436035156,-0.04039991650225094,0,0,-0.0032092657916216183,-0.0,0.936258403941291,1.0,0.0,-0.0,1.0
2022-02-08,428.99945068359375,-0.031298982183560864,0,0,0.008228013833442738,0.0,0.943961951040597,1.0,0.0,0.0,1.0
2022-02-09,435.2782287597656,-0.025992522309912558,0,0,0.014635865072010867,0.0,0.9577776507891393,1.0,0.0,0.0,1.0
2022-02-10,427.45819091796875,-0.0460701997314249,0,0,-0.017965607570308406,-0.0,0.9405705933754498,1.0,0.0,-0.0,1.0
2022-02-11,419.029296875,-0.05181580794058349,0,0,-0.019718639675304073,-0.0,0.9220238207554924,1.0,0.0,-0.0,1.0
2022-02-14,417.65936279296875,-0.055302106540162654,0,0,-0.0032693038225437565,-0.0,0.9190094447538201,1.0,0.0,-0.0,1.0
2022-02-15,424.3949279785156,-0.02276053363255992,0,0,0.016126934496343726,0.0,0.9338302498708861,1.0,0.0,0.0,1.0
2022-02-16,424.8705749511719,-0.011400154402165907,0,0,0.0011207649792654983,0.0,0.9348768541115202,1.0,0.0,0.0,1.0
2022-02-17,415.794677734375,-0.021690069688487745,0,0,-0.02136155749981017,-0.0,0.9149064284371753,1.0,0.0,-0.0,1.0
2022-02-18,413.1024475097656,-0.008562016815979456,0,0,-0.00647490304416376,-0.0,0.9089824980185625,1.0,0.0,-0.0,1.0
2022-02-22,408.6691589355469,-0.023349433045799395,0,0,-0.010731692830539208,-0.0,0.899227577061491,1.0,0.0,-0.0,1.0
2022-02-23,401.4198913574219,-0.028816772447652572,0,0,-0.017738719498694322,-0.0,0.8832764313065067,1.0,0.0,-0.0,1.0
2022-02-24,407.4609375,-0.011721726085065165,0,0,0.015049194802355226,0.0,0.8965690303855675,1.0,0.0,0.0,1.0
2022-02-25,416.451171875,0.015096261878011052,1,0,0.022064039881123598,0.0,0.9163509652281749,1.0,0.0,0.0,1.0
2022-02-28,415.3856201171875,-0.01203764102737559,0,1,-0.0025586475192638236,-0.0025586475192638236,0.9140063461042188,0.9974413524807362,1.0,-0.0030586475192638236,0.9969413524807362
2022-03-01,409.0592041015625,-0.044297876451524054,0,0,-0.015230223939481147,-0.0,0.9000858247709447,0.9974413524807362,1.0,-0.0005,0.9964428818044959
2022-03-02,416.5843505859375,-0.03324860783662453,0,0,0.018396228245011192,0.0,0.9166440090435302,0.9974413524807362,0.0,0.0,0.9964428818044959
2022-03-03,414.51043701171875,-0.04731605111663684,0,0,-0.004978376099106341,-0.0,0.9120806104175189,0.9974413524807362,0.0,-0.0,0.9964428818044959
