Price,Close,mom,signal,signal_shift,ret_daily,strat_ret,wealth_market,wealth_strategy
Ticker,SPY,,,,,,,
Date,,,,,,,,
2022-01-03,454.46685791015625,,0,0.0,0.0,0.0,1.0,1.0
2022-01-04,454.31463623046875,,0,0.0,-0.00033494561162827896,-0.0,0.9996650543883717,1.0
2022-01-05,445.59088134765625,,0,0.0,-0.019202011529267704,-0.0,0.9804694744886002,1.0
2022-01-06,445.1722412109375,,0,0.0,-0.000939516839870258,-0.0,0.9795483069063394,1.0
2022-01-07,443.4122314453125,,0,0.0,-0.003953547869106844,-0.0,0.9756756157848826,1.0
2022-01-10,442.86053466796875,,0,0.0,-0.001244207394878294,-0.0,0.9744616729687207,1.0
2022-01-11,446.8941955566406,,0,0.0,0.009108196763787157,0.0,0.983337261624889,1.0
2022-01-12,448.10235595703125,,0,0.0,0.002703459593798918,0.0,0.9859956741787688,1.0
2022-01-13,441.92816162109375,,0,0.0,-0.013778535760542998,-0.0,0.9724100975223559,1.0
2022-01-14,442.1088562011719,,0,0.0,0.00040887772215114637,0.0,0.9728076943480276,1.0
2022-01-18,434.27935791015625,,0,0.0,-0.017709435541035545,-0.0,0.9555798191911478,1.0
2022-01-19,429.7699890136719,,0,0.0,-0.010383567200118349,-0.0,0.9456574919234996,1.0
2022-01-20,425.01324462890625,,0,0.0,-0.011068116681861473,-0.0,0.9351908444618138,1.0
2022-01-21,416.6699523925781,,0,0.0,-0.019630664083452154,-0.0,0.9168324271402639,1.0
2022-01-24,418.439453125,,0,0.0,0.004246768268892698,0.0,0.9207260019997351,1.0
2022-01-25,413.3307800292969,,0,0.0,-0.012208870500977853,-0.0,0.9094849774744372,1.0
2022-01-26,412.29376220703125,,0,0.0,-0.00250892958465887,-0.0,0.9072031437076488,1.0
2022-01-27,410.25787353515625,,0,0.0,-0.004937956521526732,-0.0,0.9027234140278281,1.0
2022-01-28,420.44683837890625,,0,0.0,0.024835513224773953,0.0,0.9251430133152293,1.0
2022-01-31,428.01953125,,0,0.0,0.01801105913958434,0.0,0.9418058188406232,1.0
2022-02-01,430.9116516113281,-0.05183041598928817,0,0.0,0.006756982217334562,0.0,0.9481695840107115,1.0
2022-02-02,435.09747314453125,-0.042299238354691404,0,0.0,0.009713874102848852,0.0,0.9573799839779421,1.0
2022-02-03,424.8705749511719,-0.04650074151835726,0,0.0,-0.023504843913359608,-0.0,0.9348769168887658,1.0
2022-02-04,426.868408203125,-0.04111629457852817,0,0.0,0.0047022160858816164,0.0,0.9392729101656796,1.0
2022-02-07,425.4984436035156,-0.0403998504583567,0,0.0,-0.003209337053955652,-0.0,0.9362584668113081,1.0
2022-02-08,428.9993896484375,-0.03129912000382584,0,0.0,0.008227870389542646,0.0,0.9439618801273435,1.0
2022-02-09,435.2782287597656,-0.02599265533625117,0,0.0,0.014636009427597463,0.0,0.95777771510418,1.0
2022-02-10,427.458251953125,-0.04607006352335674,0,0.0,-0.01796546734929061,-0.0,0.9405707908355977,1.0
2022-02-11,419.029296875,-0.05181580794058349,0,0.0,-0.01971877964599289,-0.0,0.9220238826696533,1.0
2022-02-14,417.6593322753906,-0.05530204514757797,0,0.0,-0.003269376651766742,-0.0,0.9190094393152818,1.0
2022-02-15,424.3948669433594,-0.022760674176095175,0,0.0,0.016126862606598236,0.0,0.9338301782772862,1.0
2022-02-16,424.8705749511719,-0.011400084202585203,0,0.0,0.0011209089573553932,0.0,0.934876916888766,1.0
2022-02-17,415.7947082519531,-0.021689997884659196,0,0.0,-0.02136148567187024,-0.0,0.9149065570236844,1.0
2022-02-18,413.1024475097656,-0.008561944201465388,0,0.0,-0.006474975964716023,-0.0,0.908982559056995,1.0
2022-02-22,408.6691589355469,-0.023349361816832448,0,0.0,-0.010731692830539208,-0.0,0.8992276374448779,1.0
2022-02-23,401.4198913574219,-0.028816844153321308,0,0.0,-0.017738719498694322,-0.0,0.8832764906187696,1.0
2022-02-24,407.4609375,-0.011721799236449448,0,0.0,0.015049194802355226,0.0,0.8965690905904321,1.0
2022-02-25,416.451171875,0.015096110859437406,1,0.0,0.022064039881123598,0.0,0.9163510267614021,1.0
2022-02-28,415.3857421875,-0.01203742240260397,0,1.0,-0.0025583543989157187,-0.0025583543989157187,0.9140066760811362,0.9974416456010843
2022-03-01,409.05926513671875,-0.04429766571144356,0,0.0,-0.015230366399830775,-0.0,0.900086019512529,0.9974416456010843
2022-03-02,416.5843505859375,-0.03324881323541817,0,0.0,0.018396076291545826,0.0,0.9166440705964353,0.9974416456010843
2022-03-03,414.5104064941406,-0.04731598761446265,0,0.0,-0.004978449355766301,-0.0,0.9120806045137074,0.9974416456010843
2022-03-04,411.1427001953125,-0.03231072134717039,0,0.0,-0.008124539809052367,-0.0,0.9046703693332713,0.9974416456010843
2022-03-07,399.02252197265625,-0.0652329516435386,0,0.0,-0.029479249459855583,-0.0,0.878001365836756,0.9974416456010843
2022-03-08,395.99725341796875,-0.06933325051838835,0,0.0,-0.007581698746555454,-0.0,0.8713446239819175,0.9974416456010843
2022-03-09,406.6142578125,-0.0521798687272772,0,0.0,0.02681080311262951,0.0,0.8947060731387448,0.9974416456010843
2022-03-10,404.7781982421875,-0.07007019534260095,0,0.0,-0.0045154825120745645,-0.0,0.8906660435120399,0.9974416456010843
2022-03-11,399.63134765625,-0.0650985310722847,0,0.0,-0.012715236661185014,-0.0,0.879341013982703,0.9974416456010843
2022-03-14,396.7108459472656,-0.05326226851959748,0,0.0,-0.00730798954114209,-0.0,0.8729147990494202,0.9974416456010843
2022-03-15,405.43463134765625,-0.02926955052371205,0,0.0,0.021990287105864148,0.0,0.8921104460994747,0.9974416456010843
