Price,Close,mom,signal_raw,signal_shift,ret_daily,strat_ret,wealth_market,wealth_strategy,trade_side_raw,strat_ret_net,wealth_strategy_net,signal_costaware,signal_cost_shift,strat_ret_ca,trade_side_ca,strat_ret_ca_net,wealth_strategy_ca,wealth_strategy_ca_net
Ticker,SPY,,,,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,
2022-01-03,477.7099914550781,,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,1.0
2022-01-04,477.54998779296875,,0,0.0,-0.00033493890638969237,-0.0,0.9996650610936103,1.0,0.0,-0.0,1.0,0,0.0,-0.0,0.0,-0.0,1.0,1.0
2022-01-05,468.3800048828125,,0,0.0,-0.019202142486770768,-0.0,0.9804693501514444,1.0,0.0,-0.0,1.0,0,0.0,-0.0,0.0,-0.0,1.0,1.0
2022-01-06,467.94000244140625,,0,0.0,-0.0009394133755055156,-0.0,0.979548284129639,1.0,0.0,-0.0,1.0,0,0.0,-0.0,0.0,-0.0,1.0,1.0
2022-01-07,466.0899963378906,,0,0.0,-0.003953511334494841,-0.0,0.9756756288856475,1.0,0.0,-0.0,1.0,0,0.0,-0.0,0.0,-0.0,1.0,1.0
2022-01-10,465.510009765625,,0,0.0,-0.001244366059822366,-0.0,0.9744615312476663,1.0,0.0,-0.0,1.0,0,0.0,-0.0,0.0,-0.0,1.0,1.0
2022-01-11,469.75,,0,0.0,0.009108268663244656,0.0,0.9833371886762668,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,1.0
2022-01-12,471.0199890136719,,0,0.0,0.002703542338843734,0.0,0.9859956823992128,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,1.0
2022-01-13,464.5299987792969,,0,0.0,-0.013778587715492119,-0.0,0.9724100544021786,1.0,0.0,-0.0,1.0,0,0.0,-0.0,0.0,-0.0,1.0,1.0
2022-01-14,464.7200012207031,,0,0.0,0.0004090208208415991,0.0,0.9728077903608249,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,1.0
2022-01-18,456.489990234375,,0,0.0,-0.017709612163689825,-0.0,0.9555797416837186,1.0,0.0,-0.0,1.0,0,0.0,-0.0,0.0,-0.0,1.0,1.0
2022-01-19,451.75,,0,0.0,-0.010383557878106742,-0.0,0.9456574241287994,1.0,0.0,-0.0,1.0,0,0.0,-0.0,0.0,-0.0,1.0,1.0
2022-01-20,446.75,,0,0.0,-0.011068068622025473,-0.0,0.935190822865614,1.0,0.0,-0.0,1.0,0,0.0,-0.0,0.0,-0.0,1.0,1.0
2022-01-21,437.9800109863281,,0,0.0,-0.01963064132886827,-0.0,0.9168324272478899,1.0,0.0,-0.0,1.0,0,0.0,-0.0,0.0,-0.0,1.0,1.0
2022-01-24,439.8399963378906,,0,0.0,0.004246735706896265,0.0,0.9207259722539239,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,1.0
2022-01-25,434.4700012207031,,0,0.0,-0.012208974085799573,-0.0,0.9094848527185532,1.0,0.0,-0.0,1.0,0,0.0,-0.0,0.0,-0.0,1.0,1.0
2022-01-26,433.3800048828125,,0,0.0,-0.0025087953939929575,-0.0,0.9072031413091465,1.0,0.0,-0.0,1.0,0,0.0,-0.0,0.0,-0.0,1.0,1.0
2022-01-27,431.239990234375,,0,0.0,-0.004937963506221665,-0.0,0.9027234053046322,1.0,0.0,-0.0,1.0,0,0.0,-0.0,0.0,-0.0,1.0,1.0
2022-01-28,441.95001220703125,,0,0.0,0.024835410015744186,0.0,0.9251429112061816,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,1.0
2022-01-31,449.9100036621094,,0,0.0,0.018011067394991365,0.0,0.9418057225299147,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,1.0
2022-02-01,452.95001220703125,-0.051830566014810286,0,0.0,0.006756925874457753,0.0,0.9481694339851895,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,1.0
2022-02-02,457.3500061035156,-0.04229919842069052,0,0.0,0.00971408274181318,0.0,0.9573800303201798,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,1.0
2022-02-03,446.6000061035156,-0.04650070146514085,0,0.0,-0.02350497399483331,-0.0,0.9348768376043313,1.0,0.0,-0.0,1.0,0,0.0,-0.0,0.0,-0.0,1.0,1.0
2022-02-04,448.70001220703125,-0.04111636135827934,0,0.0,0.004702207959730531,0.0,0.9392728229114821,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,1.0
2022-02-07,447.260009765625,-0.04039989426980728,0,0.0,-0.0032092765817484104,-0.0,0.9362584366370396,1.0,0.0,-0.0,1.0,0,0.0,-0.0,0.0,-0.0,1.0,1.0
2022-02-08,450.94000244140625,-0.03129902046908606,0,0.0,0.00822785984758534,0.0,0.9439618398348085,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,1.0
2022-02-09,457.5400085449219,-0.025992531037952404,0,0.0,0.014636106949445393,0.0,0.957777766278826,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,1.0
2022-02-10,449.32000732421875,-0.04607019276377944,0,0.0,-0.017965644680657644,-0.0,0.9405706712468267,1.0,0.0,-0.0,1.0,0,0.0,-0.0,0.0,-0.0,1.0,1.0
2022-02-11,440.4599914550781,-0.051815829736444385,0,0.0,-0.019718721011119933,-0.0,0.9220238205892687,1.0,0.0,-0.0,1.0,0,0.0,-0.0,0.0,-0.0,1.0,1.0
